time,quat_w_sensor1,quat_x_sensor1,quat_y_sensor1,quat_z_sensor1,quat_w_sensor2,quat_x_sensor2,quat_y_sensor2,quat_z_sensor2,quat_w_sensor3,quat_x_sensor3,quat_y_sensor3,quat_z_sensor3,quat_w_sensor4,quat_x_sensor4,quat_y_sensor4,quat_z_sensor4
0.02,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.71,0.35,0.6,0.12
0.03,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.71,0.35,0.6,0.11
0.04,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.71,0.35,0.6,0.11
0.05,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.71,0.35,0.6,0.11
0.06,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.71,0.35,0.6,0.11
0.07,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.71,0.35,0.6,0.11
0.08,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.71,0.35,0.6,0.11
0.09,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.71,0.35,0.6,0.11
0.1,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.71,0.35,0.6,0.11
0.12,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.71,0.35,0.6,0.11
0.13,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.71,0.35,0.6,0.11
0.14,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.71,0.35,0.6,0.11
0.16,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.71,0.34,0.6,0.11
0.17,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.71,0.34,0.6,0.11
0.18,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.72,0.34,0.6,0.11
0.2,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.72,0.34,0.6,0.11
0.21,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.72,0.34,0.6,0.11
0.22,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.72,0.34,0.6,0.11
0.23,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.72,0.34,0.6,0.11
0.24,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.72,0.34,0.6,0.11
0.25,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.72,0.33,0.6,0.11
0.26,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.72,0.33,0.6,0.11
0.27,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.72,0.33,0.6,0.11
0.28,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.72,0.33,0.6,0.11
0.3,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.72,0.33,0.6,0.11
0.33,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.72,0.33,0.6,0.11
0.34,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.72,0.33,0.6,0.11
0.35,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.72,0.33,0.6,0.11
0.36,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.72,0.33,0.6,0.11
0.37,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.73,0.33,0.6,0.11
0.38,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.73,0.33,0.6,0.11
0.41,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.73,0.32,0.6,0.11
0.43,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.73,0.32,0.6,0.11
0.44,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.73,0.32,0.6,0.11
0.45,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.73,0.32,0.59,0.11
0.46,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.73,0.32,0.59,0.11
0.47,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.73,0.32,0.59,0.11
0.48,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.73,0.32,0.59,0.11
0.51,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.73,0.32,0.59,0.11
0.53,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.73,0.32,0.59,0.11
0.54,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.73,0.32,0.59,0.11
0.55,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.73,0.32,0.59,0.11
0.56,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.73,0.32,0.59,0.11
0.57,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.73,0.32,0.59,0.11
0.59,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.73,0.32,0.59,0.11
0.61,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.73,0.32,0.59,0.11
0.62,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.73,0.32,0.59,0.11
0.64,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.73,0.32,0.59,0.11
0.65,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.73,0.32,0.59,0.11
0.68,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.73,0.32,0.59,0.11
0.69,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.73,0.32,0.59,0.11
0.7,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.73,0.32,0.59,0.11
0.71,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.73,0.32,0.59,0.11
0.74,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.73,0.32,0.59,0.11
0.77,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.74,0.33,0.58,0.11
0.78,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.74,0.33,0.58,0.11
0.79,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.74,0.33,0.58,0.11
0.8,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.74,0.33,0.57,0.11
0.81,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.75,0.33,0.57,0.11
0.83,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.76,0.33,0.55,0.1
0.84,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.76,0.33,0.54,0.1
0.87,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.79,0.34,0.51,0.1
0.88,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.79,0.34,0.5,0.09
0.89,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.8,0.34,0.48,0.09
0.9,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.81,0.34,0.47,0.09
0.91,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.82,0.35,0.45,0.09
0.92,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.83,0.35,0.43,0.08
0.94,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.84,0.35,0.4,0.08
0.95,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.85,0.36,0.38,0.07
0.96,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.86,0.36,0.36,0.07
0.97,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.87,0.36,0.34,0.07
0.98,0.69,0.06,0.72,0.06,0.69,0.03,0.72,0.02,0.7,0.18,0.69,0.06,0.87,0.36,0.31,0.07
