time,eul_z_sensor1,eul_y_sensor1,eul_x_sensor1,gyro_x_sensor1,gyro_y_sensor1,gyro_z_sensor1,linacc_x_sensor1,linacc_y_sensor1,linacc_z_sensor1
0.02,120.62,1.75,0.06,0.0,0.0,0.0,0.073454363124,0.11689244812999999,0.03568399016
0.03,120.62,1.75,0.06,0.0,0.0,0.0,0.083595143124,0.10738401813,0.05608611016
0.04,120.62,1.75,0.06,0.0,0.0,0.0,0.073453903124,0.10719451812999999,0.03558947016
0.05,120.62,1.75,0.06,0.0,0.0,0.0,0.08364456312400001,0.11717646813,0.06640447015999999
0.06,120.62,1.75,0.06,0.0,0.0,0.0,0.093492043124,0.11679884813000001,0.025558070160000005
0.07,120.62,1.75,0.06,0.0,0.0,0.0,0.073552283124,0.11708148813,0.05613167016
0.08,120.62,1.75,0.06,0.0,0.0,0.0,0.093541003124,0.11689336813,0.03578191016
0.09,120.62,1.75,0.06,0.0,0.0,0.0,0.073454363124,0.11689244812999999,0.03568399016
0.1,120.62,1.75,0.06,0.0,0.0,0.0,0.083497223124,0.10719497813,0.03563843016
0.11,120.62,1.75,0.06,0.0,0.0,0.0,0.073453903124,0.10719451812999999,0.03558947016
0.12,120.62,1.75,0.06,0.0,0.0,0.0,0.053415763124,0.09759018812999998,0.04562087015999999
0.14,120.62,1.75,0.06,0.0,0.0,0.0,0.073453903124,0.10719451812999999,0.03558947016
0.15,120.62,1.75,0.06,0.0,0.0,0.0,0.07350240312400001,0.09759110812999998,0.045718790159999995
0.16,120.62,1.75,0.06,0.0,0.0,0.0,0.08369352312400001,0.11727098813,0.07662831015999999
0.17,120.62,1.75,0.06,0.0,0.0,0.0,0.06336208312399999,0.11679746813000001,0.025411190160000003
0.18,120.62,1.75,0.06,0.0,0.0,0.0,0.123769343124,0.12678171813,0.05647099016
0.19,120.62,1.75,0.06,0.0,0.0,0.0,0.053318303124,0.10709907813,0.025267710160000005
0.2,120.62,1.75,0.06,0.0,0.0,0.0,0.063459543124,0.10728857812999999,0.045764350159999995
0.21,120.62,1.75,0.06,0.0,0.0,0.0,0.093491583124,0.10710091813,0.025463550160000004
0.22,120.62,1.75,0.06,0.0,0.0,0.0,0.073356903124,0.12640133812999998,0.015330830159999994
0.23,120.62,1.75,0.06,0.0,0.0,0.0,0.083547103124,0.12668535813,0.04605131015999999
0.24,120.62,1.75,0.06,0.0,0.0,0.0,0.073502863124,0.10728903812999999,0.045813310159999995
0.25,120.62,1.75,0.06,0.0,0.0,0.0,0.093639383124,0.12678033813,0.05632411016
0.26,120.62,1.75,0.06,0.0,0.0,0.0,0.07360078312400001,0.10747807812999999,0.06626099015999999
0.27,120.62,1.75,0.06,0.0,0.0,0.0,0.093541003124,0.11689336813,0.03578191016
0.28,120.62,1.75,0.06,0.0,0.0,0.0,0.093687883124,0.11717692813,0.06645343016
0.29,120.62,1.75,0.06,0.0,0.0,0.0,0.083497223124,0.10719497813,0.03563843016
0.3,120.62,1.75,0.06,0.0,0.0,0.0,0.063459083124,0.09759064812999999,0.045669830159999994
0.31,120.62,1.75,0.06,0.0,0.0,0.0,0.083497223124,0.10719497813,0.03563843016
0.32,120.62,1.75,0.06,0.0,0.0,0.0,0.073552283124,0.11708148813,0.05613167016
0.33,120.62,1.75,0.06,0.0,0.01,0.0,0.073404943124,0.10709999813,0.025365630160000003
0.34,120.62,1.75,0.06,0.0,0.01,0.0,0.093736383124,0.10757351812999999,0.07658275015999999
0.35,120.62,1.75,0.06,0.0,0.0,0.0,0.04337336312400001,0.11698558813,0.045760950159999994
0.36,120.62,1.75,0.06,0.0,0.0,0.0,0.103583863124,0.10719589813,0.03573635016
0.37,120.62,1.75,0.06,0.0,0.0,0.0,0.053415763124,0.09759018812999998,0.04562087015999999
0.38,120.62,1.75,0.06,0.0,0.0,0.0,0.093638003124,0.09768654812999998,0.05604055016
0.39,120.62,1.75,0.06,0.0,0.0,0.0,0.07360078312400001,0.10747807812999999,0.06626099015999999
0.4,120.62,1.75,0.06,0.0,0.0,0.0,0.083547103124,0.12668535813,0.04605131015999999
0.41,120.62,1.75,0.06,0.0,0.0,0.0,0.083595143124,0.10738401813,0.05608611016
0.42,120.62,1.75,0.06,0.0,0.0,0.0,0.07350378312400001,0.12668489813,0.04600235015999999
0.44,120.62,1.75,0.06,0.0,0.0,0.0,0.093637543124,0.08798861813,0.05594603016
0.45,120.62,1.75,0.06,0.0,0.0,0.0,0.083547103124,0.12668535813,0.04605131015999999
0.46,120.62,1.75,0.06,0.0,0.0,0.0,0.093589963124,0.11698788813,0.04600575015999999
0.48,120.62,1.75,0.06,0.0,0.01,0.0,0.073405403124,0.11679792813,0.025460150160000004
0.49,120.62,1.75,0.06,0.0,0.0,0.0,0.063460463124,0.12668443813,0.04595339015999999
0.5,120.62,1.75,0.06,0.0,0.0,0.0,0.103633743124,0.12668627813,0.04614923015999999
0.51,120.62,1.75,0.06,0.0,0.0,0.0,0.083349883124,0.09721348813,0.00487239016
0.52,120.62,1.75,0.06,0.0,0.0,0.0,0.063509883124,0.13647688812999997,0.05627175016
0.53,120.62,1.75,0.06,0.0,0.0,0.0,0.083399763124,0.11670386813000001,0.015285270159999996
0.54,120.62,1.75,0.06,0.0,0.0,0.0,0.08354572312400001,0.09759156812999999,0.045767750159999995
0.55,120.62,1.75,0.06,0.0,0.0,0.0,0.06341104312399999,0.11689198813,0.03563503016
0.56,120.62,1.75,0.06,0.0,0.01,0.0,0.08349768312400001,0.11689290813,0.03573295016
0.58,120.62,1.75,0.06,0.0,0.0,0.0,0.08354664312400001,0.11698742813,0.04595679015999999
0.59,120.62,1.75,0.06,0.0,0.01,0.0,0.063411503124,0.12658991812999998,0.03572955016
0.6,120.62,1.75,0.06,0.0,0.0,0.0,0.083498603124,0.13628876813,0.03592199016
0.61,120.62,1.75,0.06,0.0,0.0,0.0,0.073502863124,0.10728903812999999,0.045813310159999995
0.62,120.62,1.75,0.06,0.0,0.0,0.0,0.073502863124,0.10728903812999999,0.045813310159999995
0.63,120.62,1.75,0.06,0.0,0.01,0.0,0.093589963124,0.11698788813,0.04600575015999999
0.64,120.62,1.75,0.06,0.0,0.0,0.0,0.083447803124,0.09740252813,0.025320070160000003
0.65,120.62,1.75,0.06,0.0,0.0,0.0,0.093639383124,0.12678033813,0.05632411016
0.66,120.62,1.75,0.06,0.0,0.0,0.0,0.063557923124,0.11717554813,0.06630655015999999
0.67,120.62,1.75,0.06,0.0,0.0,0.0,0.083547563124,0.13638328813,0.04614583015999999
0.69,120.62,1.75,0.06,0.0,0.0,0.0,0.073598943124,0.06868635812999999,0.06588291016
0.7,120.62,1.75,0.06,0.0,0.0,0.0,0.063263703124,0.10691049813,0.00486899016
0.71,120.62,1.75,0.06,0.01,0.0,0.0,0.11382348312400002,0.11727236813,0.07677519015999999
0.72,120.62,1.75,0.06,0.01,0.0,0.0,0.04298168312400001,0.11622942813,-0.036029769839999996
0.73,120.62,1.75,0.06,0.01,0.02,0.0,0.063705723124,0.13685496812999998,0.09716711016000001
0.74,120.62,1.69,0.06,0.0,0.0,0.0,0.043619083124,0.13685404813,0.09706919016000001
0.75,120.62,1.75,0.06,0.0,0.01,0.0,0.093198283124,0.11623172813,-0.03578496984
0.76,120.62,1.75,0.06,0.0,0.01,0.0,0.053515063124000006,0.12687301813000001,0.06635211015999999
0.77,120.62,1.75,0.06,0.01,0.01,0.0,0.073503323124,0.11698696813,0.045907830159999996
0.78,120.62,1.75,0.06,0.0,0.01,0.0,0.124013223124,0.10785845812999999,0.10740115015999999
0.8,120.62,1.75,0.06,0.0,0.0,0.0,0.073454363124,0.11689244812999999,0.03568399016
0.81,120.62,1.75,0.06,0.0,0.01,0.0,0.053318303124,0.10709907813,0.025267710160000005
0.82,120.62,1.75,0.06,0.0,0.0,0.0,0.10363328312400001,0.11698834813,0.04605471015999999
0.83,120.62,1.75,0.06,0.0,0.0,0.0,0.063558383124,0.12687347813,0.06640107015999999
0.84,120.62,1.75,0.06,0.0,0.0,0.0,0.073453903124,0.10719451812999999,0.03558947016
0.85,120.62,1.75,0.06,0.0,0.0,0.0,0.093589503124,0.10728995812999999,0.04591123015999999
0.86,120.62,1.75,0.06,0.0,0.0,0.0,0.175404403124,0.10043130813,0.35292359016
0.87,120.62,1.69,0.06,0.0,0.01,0.0,0.04303064312400001,0.11632394813000001,-0.025805929840000002
0.88,120.62,1.75,0.06,0.01,0.02,0.0,0.11362856312400002,0.13629014812999998,0.036068870159999995
0.9,120.62,1.75,0.06,0.0,0.01,0.0,0.10373258312400001,0.14627117813,0.06678595016
0.91,120.62,1.75,0.06,0.01,0.02,0.0,0.08403624312400002,0.11793262813000001,0.14819519016000002
0.92,120.62,1.81,0.06,0.01,0.09,0.0,0.053316003124,0.058609428129999995,0.024795110160000005
0.93,120.62,1.87,0.0,0.0,0.01,0.0,0.11367614312400001,0.10729087812999999,0.04600915015999999
0.94,120.62,1.87,0.0,0.0,0.02,0.0,0.06336208312399999,0.11679746813000001,0.025411190160000003
0.95,120.62,1.94,0.0,0.0,0.02,0.0,0.063508503124,0.10738309813,0.05598819016
0.96,120.62,1.94,0.0,0.0,0.01,0.0,0.093932223124,0.10795159812999999,0.11747811016
0.97,120.62,1.94,0.0,0.0,0.03,0.0,0.093590423124,0.12668581813000002,0.04610027015999999
0.98,120.62,1.94,0.0,0.0,0.02,0.0,0.083496763124,0.09749704812999999,0.03554391016
0.99,120.62,1.94,0.0,0.0,0.0,0.0,0.083498143124,0.12659083813,0.03582747016
1.01,120.62,2.0,0.0,0.0,0.01,0.0,0.06350896312399999,0.11708102813,0.05608271016
1.02,120.62,2.0,0.0,0.0,0.01,0.0,0.06350896312399999,0.11708102813,0.05608271016
1.03,120.62,2.0,0.0,0.0,0.01,0.0,0.073404023124,0.08770413813000001,0.025176590160000005
1.04,120.62,2.0,0.0,0.0,0.0,0.0,0.073454363124,0.11689244812999999,0.03568399016
1.05,120.62,2.0,0.0,0.0,0.0,0.0,0.093736383124,0.10757351812999999,0.07658275015999999
1.06,120.62,2.0,0.0,0.0,0.0,0.0,0.083596523124,0.13647780813,0.05636967016
1.07,120.62,2.0,0.0,0.0,0.01,0.0,0.083645023124,0.12687439813,0.06649899016
1.08,120.62,2.0,0.0,0.0,0.01,0.0,0.093687423124,0.10747899812999999,0.06635891015999999
1.09,120.62,2.0,0.0,0.0,0.01,0.0,0.06331312312399999,0.11670294813000001,0.015187350159999995
1.1,120.62,2.0,0.0,0.0,0.01,0.0,0.07360170312400001,0.12687393813,0.06645003015999999
1.11,120.62,2.0,0.0,0.0,0.01,0.0,0.083547103124,0.12668535813,0.04605131015999999
1.12,120.62,2.0,0.0,0.0,0.01,0.0,0.063460463124,0.12668443813,0.04595339015999999
1.13,120.62,2.0,0.0,0.0,0.01,0.0,0.063508503124,0.10738309813,0.05598819016
1.14,120.62,2.0,0.0,0.0,0.01,0.0,0.073404943124,0.10709999813,0.025365630160000003
1.15,120.62,2.0,0.0,0.0,0.01,0.0,0.063606423124,0.10757213813,0.07643587015999999
1.16,120.62,2.0,0.0,0.0,0.01,0.0,0.063508503124,0.10738309813,0.05598819016
1.17,120.62,2.0,0.0,0.0,0.0,0.0,0.053416683124000004,0.11698604812999999,0.045809910159999995
1.18,120.62,2.0,0.0,0.0,0.01,0.0,0.063509883124,0.13647688812999997,0.05627175016
1.19,120.62,2.0,0.0,0.0,0.01,0.0,0.073405403124,0.11679792813,0.025460150160000004
1.2,120.62,2.0,0.0,0.0,0.0,0.0,0.04327498312400001,0.10709861813,0.025218750160000004
1.21,120.62,2.0,0.0,0.0,0.0,0.0,0.06341104312399999,0.11689198813,0.03563503016
1.23,120.62,2.0,0.0,0.0,0.0,0.0,0.04327498312400001,0.10709861813,0.025218750160000004
1.24,120.62,2.0,0.0,0.0,0.01,0.0,0.063460463124,0.12668443813,0.04595339015999999
1.25,120.62,2.0,0.0,0.0,0.01,0.0,0.07355274312400001,0.12677941813,0.05622619016
1.26,120.62,2.0,0.0,0.0,0.0,0.0,0.083596523124,0.13647780813,0.05636967016
1.27,120.62,2.0,0.0,0.0,0.0,0.0,0.083596523124,0.13647780813,0.05636967016
1.28,120.62,2.0,0.0,0.0,0.01,0.0,0.053416683124000004,0.11698604812999999,0.045809910159999995
1.29,120.62,2.0,0.0,0.0,0.0,0.0,0.053416223124000003,0.10728811812999998,0.045715390159999994
1.3,120.62,2.0,0.0,0.0,0.01,0.0,0.053318303124,0.10709907813,0.025267710160000005
1.31,120.62,2.0,0.0,0.0,0.01,0.0,0.053465643124000005,0.11708056812999999,0.05603375016
1.32,120.62,2.0,0.0,0.0,0.0,0.0,0.04322602312400001,0.10700409813,0.014994910159999994
1.34,120.62,2.0,0.0,0.0,0.0,0.0,0.063803183124,0.12734607812999998,0.11752027016
1.35,120.62,2.0,0.0,0.0,0.01,0.0,0.04327452312400001,0.09740068813,0.025124230160000004
1.36,120.62,2.0,0.0,0.0,0.0,0.0,0.073601243124,0.11717600813,0.06635551015999999
1.37,120.62,2.0,0.0,0.0,0.0,0.0,0.063558383124,0.12687347813,0.06640107015999999
1.38,120.62,2.0,0.0,0.0,0.0,0.0,0.053465643124000005,0.11708056812999999,0.05603375016
1.39,120.62,2.0,0.0,0.0,0.0,0.0,0.053416223124000003,0.10728811812999998,0.045715390159999994
1.4,120.62,2.0,0.0,0.0,0.01,0.0,0.063557923124,0.11717554813,0.06630655015999999
1.41,120.62,2.0,0.0,0.0,0.0,0.0,0.033280623124,0.10719267812999998,0.035393630159999995
1.42,120.62,2.0,0.0,0.0,0.01,0.0,0.08398774312400001,0.12753603813,0.13806587016
1.44,120.62,2.0,0.0,0.0,0.0,0.0,0.07365066312400001,0.12696845813,0.07667387015999999
1.45,120.62,2.0,0.0,0.0,0.0,0.0,0.063509883124,0.13647688812999997,0.05627175016
1.46,120.62,2.0,0.0,0.0,0.0,0.0,0.063509883124,0.13647688812999997,0.05627175016
1.47,120.62,2.0,0.0,0.0,0.0,0.0,0.073602163124,0.13657186813,0.06654455016
1.48,120.62,2.0,0.0,0.0,0.0,0.0,0.04332394312400001,0.10719313812999999,0.035442590159999995
