time,eul_z_sensor2,eul_y_sensor2,eul_x_sensor2,gyro_x_sensor2,gyro_y_sensor2,gyro_z_sensor2,linacc_x_sensor2,linacc_y_sensor2,linacc_z_sensor2,quat_w_sensor2,quat_x_sensor2,quat_y_sensor2,quat_z_sensor2
0.02,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.01,0.69,0.03,0.72,0.02
0.03,356.25,87.94,179.81,0.0,0.0,0.0,0.31,0.02,0.01,0.69,0.03,0.72,0.02
0.04,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.0,0.69,0.03,0.72,0.02
0.05,356.25,87.94,179.81,0.0,0.0,0.0,0.31,0.03,0.02,0.69,0.03,0.72,0.02
0.06,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.01,0.0,0.69,0.03,0.72,0.02
0.07,356.25,87.94,179.81,0.0,0.0,0.0,0.28,0.02,0.0,0.69,0.03,0.72,0.02
0.08,356.25,87.94,179.81,0.0,0.0,0.0,0.29,0.01,0.03,0.69,0.03,0.72,0.02
0.09,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.01,0.0,0.69,0.03,0.72,0.02
0.1,356.25,87.94,179.81,0.0,0.0,0.0,0.31,0.02,0.0,0.69,0.03,0.72,0.02
0.11,356.25,87.94,179.81,0.0,0.0,0.0,0.35,0.03,0.01,0.69,0.03,0.72,0.02
0.12,356.25,87.94,179.81,0.0,0.0,0.0,0.32,0.01,0.02,0.69,0.03,0.72,0.02
0.13,356.25,87.94,179.81,0.0,0.0,0.0,0.31,0.01,0.0,0.69,0.03,0.72,0.02
0.14,356.25,87.94,179.81,0.0,0.0,0.0,0.29,0.02,0.01,0.69,0.03,0.72,0.02
0.16,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.03,0.01,0.69,0.03,0.72,0.02
0.17,356.25,87.94,179.81,0.0,0.0,0.0,0.28,0.03,0.02,0.69,0.03,0.72,0.02
0.18,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.0,0.69,0.03,0.72,0.02
0.19,356.25,87.94,179.81,0.0,0.0,0.0,0.35,0.03,0.02,0.69,0.03,0.72,0.02
0.2,356.25,87.94,179.81,0.0,0.0,0.0,0.31,0.03,0.0,0.69,0.03,0.72,0.02
0.21,356.25,87.94,179.81,0.0,0.0,0.0,0.32,0.02,0.0,0.69,0.03,0.72,0.02
0.22,356.25,87.94,179.81,0.0,0.0,0.0,0.31,0.02,0.01,0.69,0.03,0.72,0.02
0.23,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.03,0.01,0.69,0.03,0.72,0.02
0.24,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.0,0.69,0.03,0.72,0.02
0.25,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.0,0.69,0.03,0.72,0.02
0.26,356.25,87.94,179.81,0.0,0.0,0.0,0.29,0.02,0.0,0.69,0.03,0.72,0.02
0.27,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.0,0.69,0.03,0.72,0.02
0.28,356.25,87.94,179.81,0.0,0.0,0.0,0.29,0.01,0.01,0.69,0.03,0.72,0.02
0.29,356.25,87.94,179.81,0.0,0.0,0.0,0.31,0.02,0.01,0.69,0.03,0.72,0.02
0.3,356.25,87.94,179.81,0.0,0.0,0.0,0.27,0.02,0.01,0.69,0.03,0.72,0.02
0.31,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.03,0.69,0.03,0.72,0.02
0.32,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.0,0.69,0.03,0.72,0.02
0.33,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.01,0.01,0.69,0.03,0.72,0.02
0.34,356.25,87.94,179.81,0.0,0.0,0.0,0.31,0.03,0.01,0.69,0.03,0.72,0.02
0.35,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.01,0.01,0.69,0.03,0.72,0.02
0.36,356.25,87.94,179.81,0.0,0.0,0.0,0.29,0.03,0.01,0.69,0.03,0.72,0.02
0.37,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.01,0.03,0.69,0.03,0.72,0.02
0.38,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.03,0.01,0.69,0.03,0.72,0.02
0.39,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.0,0.69,0.03,0.72,0.02
0.41,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.0,0.69,0.03,0.72,0.02
0.42,356.25,87.94,179.81,0.0,0.0,0.0,0.29,0.02,0.02,0.69,0.03,0.72,0.02
0.43,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.01,0.69,0.03,0.72,0.02
0.44,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.01,0.0,0.69,0.03,0.72,0.02
0.45,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.0,0.69,0.03,0.72,0.02
0.46,356.25,87.94,179.81,0.0,0.0,0.0,0.3,0.02,0.01,0.69,0.03,0.72,0.02
0.47,356.25,87.94,179.81,0.0,0.0,0.0,0.28,0.02,0.0,0.69,0.03,0.72,0.02
0.48,356.25,87.94,179.81,0.0,0.0,0.0,0.29,0.02,0.0,0.69,0.03,0.72,0.02
0.49,356.25,87.94,179.81,0.0,0.0,0.0,0.28,0.04,0.01,0.69,0.03,0.72,0.02
